Tweet id,Tweet permalink,Tweet text,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements,promoted impressions,promoted engagements,promoted engagement rate,promoted retweets,promoted replies,promoted likes,promoted user profile clicks,promoted url clicks,promoted hashtag clicks,promoted detail expands,promoted permalink clicks,promoted app opens,promoted app installs,promoted follows,promoted email tweet,promoted dial phone,promoted media views,promoted media engagements
7.60661E+17,https://twitter.com/TheStevenChun/status/760660974999396352,@BigRedHacks that's a damn lie and you know it,2016-08-03 02:18 +0000,50,11,0.22,0,1,0,2,0,0,8,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.59088E+17,https://twitter.com/TheStevenChun/status/759087762041700352,"@BigRedHacks It's this son of a gun isn't it. BUT WHAT NOWhttps://t.co/qs0ynlYIjQ",2016-07-29 18:06 +0000,142,13,0.091549296,0,1,1,1,10,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.55772E+17,https://twitter.com/TheStevenChun/status/755772421119041540,"When the human species goes extinct, it will be death by a thousand parts per million. https://t.co/a6ctwohmGm",2016-07-20 14:32 +0000,409,4,0.009779951,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.46692E+17,https://twitter.com/TheStevenChun/status/746692428992815104,British eakfast - Breakfast #TruCon16,2016-06-25 13:12 +0000,346,5,0.014450867,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.4634E+17,https://twitter.com/TheStevenChun/status/746339505779638272,Dark roast has less caffeine than mild #trufacta #TruCon16,2016-06-24 13:49 +0000,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.4632E+17,https://twitter.com/TheStevenChun/status/746320418806566912,Breakfast is the most important meal of the day #trufacts #trucon16,2016-06-24 12:33 +0000,314,8,0.025477707,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.46132E+17,https://twitter.com/TheStevenChun/status/746132399566766080,Inception #TruCon16 https://t.co/CErUKAs03W,2016-06-24 00:06 +0000,307,34,0.110749186,0,0,0,0,3,1,2,0,0,0,0,0,0,28,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.46126E+17,https://twitter.com/TheStevenChun/status/746126075823013889,33% of Dartmouth people in this room are the Secretary of the Army #TruCon16,2016-06-23 23:41 +0000,379,13,0.034300792,0,0,5,2,0,1,5,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.46104E+17,https://twitter.com/TheStevenChun/status/746103707746639872,"Policy, security, libert̩ #TruCon16",2016-06-23 22:12 +0000,360,3,0.008333333,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
