Tweet id,Tweet permalink,Tweet text,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements,promoted impressions,promoted engagements,promoted engagement rate,promoted retweets,promoted replies,promoted likes,promoted user profile clicks,promoted url clicks,promoted hashtag clicks,promoted detail expands,promoted permalink clicks,promoted app opens,promoted app installs,promoted follows,promoted email tweet,promoted dial phone,promoted media views,promoted media engagements
7.5658E+17,https://twitter.com/TrumanProject/status/756580382829645824,Donald Trump sends the wrong message to our allies -- again.  https://t.co/999q9DR4vZ,2016-07-22 20:03 +0000,1448,23,0.015883978,5,1,4,3,10,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.56332E+17,https://twitter.com/TrumanProject/status/756331652893343745,Trump is irredeemably unfit to serve as commander-in-chief of this nation. Read @M_Breen's statement --&gt; https://t.co/0FBUpL6CFv #RNCinCLE,2016-07-22 03:34 +0000,1731,21,0.012131716,9,0,6,1,5,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.56326E+17,https://twitter.com/TrumanProject/status/756325944361639936,"Trump ""does not understand that public office is not meant to inflate oneâ€™s own fragile and ravenous ego."" https://t.co/0FBUpL6CFv #RNCinCLE",2016-07-22 03:12 +0000,1347,12,0.008908686,4,0,4,1,2,0,1,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.56323E+17,https://twitter.com/TrumanProject/status/756322931047862272,"""Trump does not understand that our role in the world is not to demand and degrade, but to build, lead, and defend."" https://t.co/0FBUpL6CFv",2016-07-22 03:00 +0000,2216,34,0.01534296,13,0,12,2,5,0,2,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.56322E+17,https://twitter.com/TrumanProject/status/756321733041393664,"Trump's ""authoritarian appeals to fear categorically do not appeal to the â€˜better angels of our nature.â€™"" https://t.co/0FBUpL6CFv #RNCinCLE",2016-07-22 02:55 +0000,1107,9,0.008130081,2,0,1,1,3,0,1,0,0,0,0,1,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.56321E+17,https://twitter.com/TrumanProject/status/756321147537526788,Trump has failed to show he has any qualifications for the highest office in the land. Read more: https://t.co/0FBUpL6CFv #RNCinCLE,2016-07-22 02:53 +0000,1120,6,0.005357143,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.56318E+17,https://twitter.com/TrumanProject/status/756317698976583680,".@realDonaldTrump, we disagree. Our statement on the speech tonight at #RNCinCLE: https://t.co/0FBUpL6CFv",2016-07-22 02:39 +0000,1770,52,0.029378531,11,0,5,7,11,4,14,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.56316E+17,https://twitter.com/TrumanProject/status/756315814043811845,America is better than fear. America is better than this. #RNCinCLE,2016-07-22 02:31 +0000,1904,51,0.026785714,15,2,12,7,0,2,13,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.56225E+17,https://twitter.com/TrumanProject/status/756224873899302912,Russia and Turkey's Rapprochement: What not to expect from Truman Member @DrJMankoff in @ForeignAffairs https://t.co/8mb9hetAxy,2016-07-21 20:30 +0000,879,2,0.002275313,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.56219E+17,https://twitter.com/TrumanProject/status/756218595126939648,Truman Member @Constantine_Jus on the out-of-control rhetoric espoused by Newt Gingrich via @HuffingtonPost. https://t.co/N3dFmj5ebI,2016-07-21 20:05 +0000,1149,16,0.013925152,1,0,3,1,9,0,2,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.56161E+17,https://twitter.com/TrumanProject/status/756160598233128961,".@M_Breen: Take @realDonaldTrump at his word, and the choice becomes clear. #AdmitHesUnfit https://t.co/67Vaiclni0 https://t.co/8r3JJHGnvW",2016-07-21 16:15 +0000,4328,115,0.026571165,34,0,26,8,17,1,12,0,0,0,0,0,0,17,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.55784E+17,https://twitter.com/TrumanProject/status/755783605482168321,Meet your #WednesdayWisdom quota with @drjwalkâ€™s #Turkey deep dive in @TheNatlInterest  https://t.co/Nt2AyomiNX,2016-07-20 15:17 +0000,1895,20,0.01055409,2,0,1,1,13,0,3,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.55458E+17,https://twitter.com/TrumanProject/status/755457690361532417,#Veterans like @ConniePillich agree: A Donald Trump presidency would be a nightmare for our troops. https://t.co/jk79apK840,2016-07-19 17:42 +0000,1900,22,0.011578947,7,0,3,1,7,0,4,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.55242E+17,https://twitter.com/TrumanProject/status/755241791637499904,The divisive rhetoric of #RNCinCLE's opening act is not representative of the diversity &amp; pluralism that truly make America great.,2016-07-19 03:24 +0000,2346,34,0.014492754,9,0,12,8,0,2,3,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.54031E+17,https://twitter.com/TrumanProject/status/754030571731378180,Todayâ€™s #TrumpPence rollout is a window into the dangers of a Trump presidency. A logo is the least of our worries. #AdmitHesUnfit,2016-07-15 19:11 +0000,2465,47,0.019066937,10,1,6,13,0,9,8,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.53635E+17,https://twitter.com/TrumanProject/status/753635226497064962,"Thanks to the #IranDeal, Iran no longer has a path to a nuclear weapon. Letâ€™s ensure its success canâ€™t be undone.  https://t.co/7w48JfLmd1",2016-07-14 17:00 +0000,1082,8,0.007393715,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
